rct_id	source	domain	signalling_answers_json	model_judgement	algorithmic_judgement	cochrane_judgement	model_self_conformant	cochrane_match	direction	has_evidence_quotes
RCT001	gpt_oss_20b_fulltext_pass1	d1	"{""1.1"": ""NI"", ""1.2"": ""NI"", ""1.3"": ""NI""}"	some_concerns	some_concerns	low	1	0	cochrane_more_lenient	1
RCT001	gpt_oss_20b_fulltext_pass1	d2	"{""2.1"": ""Y"", ""2.2"": ""Y"", ""2.3"": ""NI"", ""2.4"": ""NI"", ""2.5"": ""NI"", ""2.6"": ""Y"", ""2.7"": ""NI""}"	some_concerns	some_concerns	low	1	0	cochrane_more_lenient	1
RCT001	gpt_oss_20b_fulltext_pass1	d3	"{""3.1"": ""NI"", ""3.2"": ""NI"", ""3.3"": ""NI"", ""3.4"": ""NI""}"	some_concerns	some_concerns	low	1	0	cochrane_more_lenient	1
RCT001	gpt_oss_20b_fulltext_pass1	d4	"{""4.1"": ""N"", ""4.2"": ""N"", ""4.3"": ""N"", ""4.4"": ""NI"", ""4.5"": ""NI""}"	low	low	low	1	1	match	1
RCT001	gpt_oss_20b_fulltext_pass1	d5	"{""5.1"": ""NI"", ""5.2"": ""PN"", ""5.3"": ""PN""}"	some_concerns	some_concerns	low	1	0	cochrane_more_lenient	1
RCT002	gpt_oss_20b_fulltext_pass1	d1	"{""1.1"": ""Y"", ""1.2"": ""NI"", ""1.3"": ""NI""}"	some_concerns	some_concerns	low	1	0	cochrane_more_lenient	1
RCT002	gpt_oss_20b_fulltext_pass1	d2	"{""2.1"": ""NI"", ""2.2"": ""Y"", ""2.3"": ""Y"", ""2.4"": ""Y"", ""2.5"": ""NI"", ""2.6"": ""Y"", ""2.7"": ""NI""}"	some_concerns	some_concerns	low	1	0	cochrane_more_lenient	1
RCT002	gpt_oss_20b_fulltext_pass1	d3	"{""3.1"": ""Y"", ""3.2"": ""NI"", ""3.3"": ""NI"", ""3.4"": ""NI""}"	low	low	low	1	1	match	1
RCT002	gpt_oss_20b_fulltext_pass1	d4	"{""4.1"": ""N"", ""4.2"": ""N"", ""4.3"": ""NI""}"	some_concerns	some_concerns	low	1	0	cochrane_more_lenient	1
RCT002	gpt_oss_20b_fulltext_pass1	d5	"{""5.1"": ""NI"", ""5.2"": ""N"", ""5.3"": ""N""}"	some_concerns	some_concerns	low	1	0	cochrane_more_lenient	1
